店铺名称,平台来源,店铺年份,店铺评分,店铺评论数量,主营产品,月产能,最小起订量,交货周期,所在地区,认证情况,价格等级,质量等级,爬取时间,合作年限,退货率,准时交货率,出口经验,贸易保障
深圳优质女装有限公司,1688,4年,4.1,"11,223",女装,52523件,953件,6天,浙江,"BSCI, ISO9001, OEKO-TEX",低价,优质,2025-07-23 19:01:52,4年,0.9%,93.0%,,
汕头集团女装制造厂,1688,9年,4.3,"28,467",女装,93757件,615件,6天,山东,"BSCI, OEKO-TEX, CE",中价,精品,2025-07-23 19:01:52,6年,3.2%,94.1%,,
惠州纺织女装企业,1688,14年,4.2,"18,851",女装,30711件,627件,24天,广东,"ISO9001, WRAP, CE",低价,精品,2025-07-23 19:01:52,8年,1.5%,95.7%,,
佛山国际女装集团,1688,4年,4.6,"5,558",女装,32900件,839件,6天,福建,"FCC, ISO9001, BSCI",高价,优质,2025-07-23 19:01:52,1年,1.6%,90.7%,,
佛山国际女装制造厂,1688,15年,4.8,"2,473",女装,94530件,401件,10天,江苏,"WRAP, OEKO-TEX",低价,标准,2025-07-23 19:01:52,12年,3.4%,87.3%,,
广州时尚女装有限公司,1688,19年,4.4,"12,401",女装,91835件,673件,12天,广东,ISO9001,低价,标准,2025-07-23 19:01:52,9年,2.7%,89.9%,,
潮州工厂女装工厂,1688,3年,4.3,"13,485",女装,35024件,643件,19天,福建,ISO9001,中价,优质,2025-07-23 19:01:52,2年,2.9%,94.3%,,
汕头集团女装工厂,1688,7年,4.0,"48,982",女装,29415件,258件,8天,江苏,OEKO-TEX,中价,精品,2025-07-23 19:01:52,5年,3.0%,97.4%,,
惠州纺织女装集团,1688,19年,4.3,"1,659",女装,99187件,485件,13天,江苏,OEKO-TEX,高价,精品,2025-07-23 19:01:52,18年,3.4%,88.8%,,
佛山国际女装工厂,1688,5年,4.2,"5,381",女装,45290件,91件,10天,广东,FCC,中价,精品,2025-07-23 19:01:52,4年,3.2%,87.4%,,
深圳优质女装制造厂,1688,13年,4.2,"22,702",女装,25371件,708件,21天,浙江,"WRAP, BSCI, CE",低价,优质,2025-07-23 19:01:52,13年,0.8%,98.6%,,
惠州纺织女装制造厂,1688,6年,4.3,"34,352",女装,19817件,752件,16天,广东,WRAP,中价,标准,2025-07-23 19:01:52,5年,4.9%,89.6%,,
江门出口女装贸易公司,1688,10年,4.1,"34,928",女装,12523件,228件,18天,江苏,"FCC, OEKO-TEX",中价,优质,2025-07-23 19:01:52,6年,2.6%,89.2%,,
中山制造女装制造厂,1688,3年,4.1,"31,376",女装,46484件,472件,11天,广东,FCC,高价,标准,2025-07-23 19:01:52,3年,0.9%,85.8%,,
佛山国际女装贸易公司,1688,18年,4.2,"5,960",女装,60973件,879件,7天,广东,WRAP,低价,优质,2025-07-23 19:01:52,12年,4.0%,95.8%,,
"女装 Manufacturer Co., Ltd",阿里巴巴,13年,4.5,"61,671",女装,74880件,1102件,19天,Zhejiang,"FCC, ISO9001, BSCI, WRAP",高价,优质,2025-07-23 19:01:53,7年,1.4%,86.6%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,15年,4.7,"18,910",女装,58746件,863件,22天,Zhejiang,"FCC, RoHS, CE",高价,优质,2025-07-23 19:01:53,2年,2.0%,90.5%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,16年,4.6,"12,999",女装,66058件,868件,27天,Fujian,"ISO9001, FCC, RoHS, CE",低价,优质,2025-07-23 19:01:53,10年,1.7%,89.3%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,8年,4.6,"36,582",女装,188990件,1440件,10天,Shandong,"WRAP, ISO9001",中价,精品,2025-07-23 19:01:53,2年,2.8%,86.2%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,10年,4.9,"57,823",女装,165904件,1222件,10天,Guangdong,"ISO9001, RoHS",中价,标准,2025-07-23 19:01:53,7年,3.0%,96.8%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,18年,4.5,"5,421",女装,77770件,366件,16天,Zhejiang,"BSCI, CE",中价,优质,2025-07-23 19:01:53,5年,1.4%,86.7%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,9年,4.4,"52,260",女装,159625件,472件,15天,Jiangsu,"FCC, WRAP",低价,标准,2025-07-23 19:01:53,5年,1.4%,96.6%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,20年,4.9,"63,077",女装,105048件,1056件,10天,Jiangsu,"ISO9001, RoHS, BSCI, CE",高价,标准,2025-07-23 19:01:53,3年,1.8%,92.3%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,8年,4.7,"20,281",女装,91437件,1498件,17天,Fujian,"ISO9001, BSCI, RoHS, WRAP",低价,优质,2025-07-23 19:01:53,4年,4.2%,94.6%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,14年,4.3,"5,660",女装,104096件,1137件,9天,Guangdong,"ISO9001, BSCI, RoHS",中价,标准,2025-07-23 19:01:53,2年,2.2%,94.0%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,23年,4.3,"5,596",女装,124793件,1897件,20天,Zhejiang,"CE, ISO9001, WRAP",中价,标准,2025-07-23 19:01:53,20年,2.1%,85.5%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,17年,5.0,"16,878",女装,28809件,712件,25天,Jiangsu,"CE, FCC, RoHS, ISO9001",低价,标准,2025-07-23 19:01:53,15年,4.9%,92.5%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,17年,4.8,"73,824",女装,88082件,181件,20天,Fujian,"CE, BSCI, RoHS, ISO9001",低价,优质,2025-07-23 19:01:53,11年,3.7%,87.4%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,21年,4.3,"8,881",女装,98317件,1797件,22天,Guangdong,"WRAP, CE, ISO9001",低价,优质,2025-07-23 19:01:53,19年,1.8%,98.0%,是,是
"女装 Manufacturer Co., Ltd",阿里巴巴,5年,4.5,"55,870",女装,72575件,711件,21天,Shandong,"RoHS, WRAP",高价,精品,2025-07-23 19:01:53,4年,2.2%,90.9%,是,是
广州市白云区时尚服饰厂,1688,8年,4.7,"15,680",女装,50000件,100件,7天,广东广州,"BSCI, ISO9001",中价,优质,2025-07-23 19:02:09,3年,2.8%,92.3%,,
惠州纺织男装制造厂,1688,14年,4.2,"42,950",男装,90912件,87件,21天,浙江,"CE, WRAP",低价,优质,2025-07-23 19:01:55,3年,2.5%,94.4%,,
潮州工厂男装有限公司,1688,5年,4.2,"48,197",男装,38127件,180件,22天,山东,"WRAP, BSCI, OEKO-TEX",低价,精品,2025-07-23 19:01:55,5年,4.6%,86.8%,,
江门出口男装集团,1688,10年,4.3,"17,485",男装,53105件,465件,7天,广东,FCC,中价,标准,2025-07-23 19:01:55,8年,2.7%,88.1%,,
深圳优质男装有限公司,1688,9年,4.7,"28,383",男装,57835件,203件,24天,山东,FCC,低价,标准,2025-07-23 19:01:55,6年,1.3%,92.5%,,
佛山国际男装制造厂,1688,9年,4.3,"36,153",男装,33610件,160件,20天,广东,"FCC, WRAP, CE",中价,标准,2025-07-23 19:01:55,6年,3.3%,88.5%,,
东莞精品男装有限公司,1688,5年,4.6,"14,315",男装,30078件,342件,21天,广东,"OEKO-TEX, WRAP, FCC",中价,优质,2025-07-23 19:01:55,1年,4.8%,96.8%,,
惠州纺织男装集团,1688,14年,4.2,"23,797",男装,89075件,723件,13天,山东,BSCI,高价,精品,2025-07-23 19:01:55,1年,4.8%,97.9%,,
深圳优质男装企业,1688,4年,4.7,"31,476",男装,98611件,866件,16天,浙江,"WRAP, CE",中价,精品,2025-07-23 19:01:55,1年,0.5%,85.8%,,
东莞精品男装集团,1688,15年,4.3,"32,565",男装,18403件,428件,18天,广东,"WRAP, CE, OEKO-TEX",低价,优质,2025-07-23 19:01:55,14年,1.8%,86.5%,,
东莞精品男装集团,1688,11年,4.8,"37,287",男装,6382件,868件,16天,浙江,"CE, BSCI, FCC",中价,优质,2025-07-23 19:01:55,8年,3.6%,85.6%,,
汕头集团男装有限公司,1688,9年,4.8,"14,778",男装,88909件,336件,25天,山东,WRAP,高价,标准,2025-07-23 19:01:55,5年,3.6%,89.1%,,
江门出口男装集团,1688,13年,4.6,"11,527",男装,68615件,384件,19天,浙江,"BSCI, CE",中价,优质,2025-07-23 19:01:55,2年,4.2%,94.9%,,
中山制造男装制造厂,1688,11年,4.5,"45,870",男装,57131件,747件,23天,福建,OEKO-TEX,低价,精品,2025-07-23 19:01:55,8年,4.8%,93.0%,,
汕头集团男装集团,1688,3年,4.1,"26,958",男装,43851件,831件,11天,山东,WRAP,低价,优质,2025-07-23 19:01:55,2年,1.8%,96.8%,,
潮州工厂男装有限公司,1688,13年,4.2,"9,536",男装,59750件,211件,25天,广东,"CE, BSCI, WRAP",低价,优质,2025-07-23 19:01:55,7年,2.1%,90.7%,,
"男装 Manufacturer Co., Ltd",阿里巴巴,22年,4.4,"74,574",男装,57930件,404件,20天,Fujian,"RoHS, FCC",中价,精品,2025-07-23 19:01:56,20年,2.0%,98.8%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,6年,4.9,"72,751",男装,114472件,609件,13天,Jiangsu,"BSCI, RoHS",低价,标准,2025-07-23 19:01:56,4年,2.3%,92.2%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,5年,4.3,"14,107",男装,146637件,782件,28天,Shandong,"WRAP, RoHS, CE, BSCI",高价,精品,2025-07-23 19:01:56,1年,0.6%,90.0%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,17年,4.7,"8,890",男装,10482件,697件,28天,Shandong,"RoHS, FCC, WRAP, ISO9001",高价,优质,2025-07-23 19:01:56,11年,4.1%,92.3%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,20年,4.2,"27,493",男装,14056件,934件,22天,Zhejiang,"CE, WRAP, RoHS",高价,优质,2025-07-23 19:01:56,5年,4.1%,86.0%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,17年,4.5,"70,015",男装,173235件,1547件,28天,Shandong,"ISO9001, FCC, CE",高价,精品,2025-07-23 19:01:56,12年,2.2%,85.9%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,15年,4.6,"16,518",男装,17237件,505件,25天,Fujian,"CE, WRAP",中价,精品,2025-07-23 19:01:56,5年,4.2%,96.7%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,21年,4.9,"50,056",男装,163730件,1177件,21天,Fujian,"WRAP, RoHS, CE",中价,精品,2025-07-23 19:01:56,12年,4.5%,98.5%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,22年,4.2,"47,119",男装,48946件,293件,30天,Jiangsu,"RoHS, BSCI",低价,标准,2025-07-23 19:01:56,3年,3.0%,88.1%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,23年,4.3,"46,004",男装,42676件,693件,8天,Guangdong,"BSCI, FCC, RoHS",高价,精品,2025-07-23 19:01:56,5年,4.5%,86.1%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,17年,4.7,"67,437",男装,175977件,1264件,8天,Guangdong,"RoHS, ISO9001",中价,优质,2025-07-23 19:01:56,3年,4.1%,94.4%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,13年,4.7,"60,031",男装,61518件,1699件,7天,Guangdong,"RoHS, ISO9001, CE, FCC",中价,标准,2025-07-23 19:01:56,12年,3.1%,85.8%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,13年,4.7,"11,156",男装,162257件,1812件,19天,Fujian,"BSCI, ISO9001, WRAP, FCC",中价,标准,2025-07-23 19:01:56,7年,0.7%,90.0%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,22年,4.4,"48,031",男装,78697件,1483件,13天,Guangdong,"CE, WRAP, ISO9001",中价,精品,2025-07-23 19:01:56,4年,4.1%,93.7%,是,是
"男装 Manufacturer Co., Ltd",阿里巴巴,13年,4.9,"16,078",男装,67977件,739件,10天,Fujian,"RoHS, BSCI",高价,优质,2025-07-23 19:01:56,6年,1.1%,97.6%,是,是
广州时尚童装集团,1688,15年,4.0,"21,441",童装,58011件,803件,9天,浙江,"BSCI, OEKO-TEX, ISO9001",高价,精品,2025-07-23 19:01:58,8年,3.8%,94.7%,,
东莞精品童装贸易公司,1688,5年,4.1,"45,858",童装,66695件,867件,16天,江苏,WRAP,低价,优质,2025-07-23 19:01:58,3年,1.1%,88.4%,,
汕头集团童装企业,1688,6年,4.6,"22,279",童装,83211件,195件,14天,浙江,"OEKO-TEX, FCC, BSCI",高价,优质,2025-07-23 19:01:58,5年,2.3%,90.8%,,
珠海设计童装企业,1688,12年,4.9,"20,045",童装,40256件,203件,11天,福建,"FCC, CE",低价,精品,2025-07-23 19:01:58,4年,4.5%,98.8%,,
深圳优质童装制造厂,1688,3年,4.7,"14,841",童装,95101件,875件,18天,浙江,OEKO-TEX,中价,标准,2025-07-23 19:01:58,2年,5.0%,89.7%,,
珠海设计童装工厂,1688,15年,4.8,"2,076",童装,37725件,975件,22天,浙江,"FCC, ISO9001, WRAP",低价,标准,2025-07-23 19:01:58,4年,1.1%,89.1%,,
中山制造童装有限公司,1688,3年,4.2,"42,804",童装,78971件,747件,5天,福建,CE,中价,标准,2025-07-23 19:01:58,2年,3.1%,93.6%,,
深圳优质童装有限公司,1688,16年,4.9,"44,535",童装,84100件,315件,7天,广东,"FCC, OEKO-TEX",中价,精品,2025-07-23 19:01:58,7年,2.5%,99.0%,,
中山制造童装有限公司,1688,19年,4.6,"23,715",童装,24371件,389件,10天,福建,"BSCI, WRAP",高价,精品,2025-07-23 19:01:58,17年,2.4%,85.5%,,
