order_id,order_date,product_name,product_category,quantity,unit_price,total_amount,customer_region,customer_country,customer_state,customer_location,sales_channel,customer_type,shipping_method,order_status,profit_margin
1,2023-11-15,女装短袖T恤,女装,1,66.91,66.91,欧洲,英国,苏格兰,英国 - 苏格兰,eBay,VIP客户,标准配送,已完成,0.33
2,2023-08-25,女装短袖T恤,女装,1,31.29,31.29,南美,智利,圣地亚哥首都大区,智利 - 圣地亚哥首都大区,Wish,新客户,经济配送,已取消,0.22
3,2025-03-18,女装短袖T恤,女装,9,71.66,644.94,亚洲,日本,大阪府,日本 - 大阪府,AliExpress,老客户,快速配送,处理中,0.2
4,2024-07-02,女装短袖T恤,女装,5,21.77,108.85,欧洲,法国,新阿基坦大区,法国 - 新阿基坦大区,Amazon,VIP客户,快速配送,已完成,0.44
5,2024-08-14,女装短袖T恤,女装,5,73.06,365.29,北美,墨西哥,新莱昂州,墨西哥 - 新莱昂州,Wish,新客户,经济配送,已完成,0.16
6,2024-03-13,女装短袖T恤,女装,25,35.26,881.43,北美,美国,佛罗里达州,美国 - 佛罗里达州,Amazon,老客户,快速配送,已取消,0.34
7,2024-07-31,女装短袖T恤,女装,9,29.67,266.99,北美,加拿大,安大略省,加拿大 - 安大略省,Wish,VIP客户,标准配送,已发货,0.2
8,2024-08-15,女装短袖T恤,女装,19,59.8,1136.2,澳洲,澳大利亚,昆士兰州,澳大利亚 - 昆士兰州,Amazon,新客户,标准配送,处理中,0.27
9,2023-09-29,女装短袖T恤,女装,7,78.92,552.44,亚洲,泰国,清迈府,泰国 - 清迈府,eBay,VIP客户,快速配送,已取消,0.42
10,2025-05-12,女装短袖T恤,女装,15,25.0,375.02,亚洲,韩国,釜山广域市,韩国 - 釜山广域市,AliExpress,VIP客户,经济配送,处理中,0.37
11,2024-10-04,女装短袖T恤,女装,19,42.96,816.2,北美,美国,德克萨斯州,美国 - 德克萨斯州,Wish,老客户,标准配送,已完成,0.41
12,2023-12-27,女装短袖T恤,女装,21,26.2,550.17,南美,智利,瓦尔帕莱索大区,智利 - 瓦尔帕莱索大区,Wish,新客户,快速配送,已取消,0.33
13,2024-11-14,女装短袖T恤,女装,17,32.6,554.18,亚洲,泰国,曼谷,泰国 - 曼谷,AliExpress,VIP客户,标准配送,处理中,0.38
14,2024-07-06,女装短袖T恤,女装,7,15.23,106.59,北美,墨西哥,新莱昂州,墨西哥 - 新莱昂州,Wish,新客户,经济配送,已完成,0.41
15,2024-05-24,女装短袖T恤,女装,21,50.54,1061.26,北美,美国,德克萨斯州,美国 - 德克萨斯州,独立站,新客户,经济配送,已完成,0.33
16,2024-12-05,女装短袖T恤,女装,1,22.83,22.83,北美,加拿大,不列颠哥伦比亚省,加拿大 - 不列颠哥伦比亚省,eBay,新客户,标准配送,已完成,0.18
17,2024-12-02,女装短袖T恤,女装,3,83.46,250.38,北美,墨西哥,哈利斯科州,墨西哥 - 哈利斯科州,eBay,VIP客户,快速配送,已发货,0.23
18,2025-04-05,女装短袖T恤,女装,19,80.02,1520.45,欧洲,英国,威尔士,英国 - 威尔士,Shopify,VIP客户,经济配送,处理中,0.28
19,2025-01-03,女装短袖T恤,女装,15,23.47,352.05,欧洲,英国,英格兰,英国 - 英格兰,独立站,新客户,经济配送,已发货,0.33
20,2023-07-31,女装短袖T恤,女装,5,19.12,95.61,北美,美国,加利福尼亚州,美国 - 加利福尼亚州,独立站,新客户,经济配送,已发货,0.23
21,2024-12-02,女装短袖T恤,女装,7,52.75,369.22,亚洲,泰国,普吉府,泰国 - 普吉府,eBay,老客户,快速配送,已发货,0.18
22,2025-05-28,女装短袖T恤,女装,14,39.8,557.21,北美,加拿大,阿尔伯塔省,加拿大 - 阿尔伯塔省,AliExpress,新客户,经济配送,已完成,0.17
23,2024-07-05,女装短袖T恤,女装,6,28.31,169.89,北美,加拿大,魁北克省,加拿大 - 魁北克省,Shopify,新客户,快速配送,已取消,0.22
24,2023-10-09,女装短袖T恤,女装,15,71.56,1073.42,欧洲,西班牙,马德里自治区,西班牙 - 马德里自治区,Amazon,VIP客户,经济配送,已完成,0.44
25,2024-03-22,女装短袖T恤,女装,6,43.45,260.69,欧洲,意大利,拉齐奥大区,意大利 - 拉齐奥大区,Shopify,新客户,标准配送,已取消,0.15
26,2024-08-26,女装短袖T恤,女装,19,69.96,1329.22,亚洲,新加坡,新加坡,新加坡 - 新加坡,AliExpress,VIP客户,经济配送,已取消,0.2
27,2024-05-22,女装短袖T恤,女装,7,82.81,579.67,北美,墨西哥,墨西哥城,墨西哥 - 墨西哥城,AliExpress,老客户,标准配送,已完成,0.33
28,2024-12-19,女装短袖T恤,女装,17,26.02,442.34,欧洲,西班牙,马德里自治区,西班牙 - 马德里自治区,eBay,新客户,经济配送,已完成,0.35
29,2024-03-20,女装短袖T恤,女装,13,23.39,304.1,欧洲,西班牙,加泰罗尼亚自治区,西班牙 - 加泰罗尼亚自治区,Wish,VIP客户,标准配送,已完成,0.28
30,2025-03-12,女装短袖T恤,女装,19,51.59,980.3,北美,加拿大,魁北克省,加拿大 - 魁北克省,AliExpress,VIP客户,快速配送,已发货,0.23
31,2023-12-05,女装短袖T恤,女装,22,60.19,1324.07,亚洲,马来西亚,柔佛州,马来西亚 - 柔佛州,Amazon,新客户,快速配送,已完成,0.17
32,2024-02-27,女装短袖T恤,女装,17,33.56,570.59,北美,加拿大,安大略省,加拿大 - 安大略省,eBay,老客户,快速配送,已发货,0.28
33,2025-01-30,女装短袖T恤,女装,23,36.18,832.05,北美,墨西哥,墨西哥城,墨西哥 - 墨西哥城,AliExpress,VIP客户,快速配送,已完成,0.43
34,2023-12-08,女装短袖T恤,女装,9,23.08,207.72,澳洲,澳大利亚,南澳大利亚州,澳大利亚 - 南澳大利亚州,eBay,老客户,快速配送,已发货,0.37
35,2024-02-17,女装短袖T恤,女装,28,33.48,937.41,南美,阿根廷,科尔多瓦省,阿根廷 - 科尔多瓦省,Amazon,新客户,经济配送,已取消,0.4
36,2023-09-07,女装短袖T恤,女装,1,38.35,38.35,亚洲,韩国,仁川广域市,韩国 - 仁川广域市,eBay,VIP客户,快速配送,已取消,0.32
37,2023-11-15,女装短袖T恤,女装,3,81.15,243.46,北美,墨西哥,哈利斯科州,墨西哥 - 哈利斯科州,Wish,新客户,快速配送,已发货,0.28
38,2023-09-04,女装短袖T恤,女装,10,40.53,405.26,北美,美国,宾夕法尼亚州,美国 - 宾夕法尼亚州,eBay,VIP客户,标准配送,已完成,0.26
